NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
0,JIALE INDONESIA TEXTILE,CHIMNEY FABRICATION,JASA,ZSBI-F/17/VI/057B,ZSBI-INV/17/VI/1199,,"420,000,000",40%,"168,000,000", - ,"3,360,000","164,640,000",LUNAS 15/06/2017,LUNAS,,
,,,,,ZSBI-INV/17/XI/1248,09-Nov-17,,50%,"210,000,000", - , - ,"210,000,000",LUNAS 27/11/2017,LUNAS,,
,,,,,ZSBI-INV/17/XI/1255,28-Nov-17,,10%,"42,000,000", - , - ,"42,000,000",LUNAS 12/12/2017,LUNAS,,
1,ELANG PERDANA TYRE INDUSTRY,"U BOLT d=1/2""",MATERIAL ,17/06/PO/03650,ZSBI-INV/17/VI/1200,16-Jun-17,"11,520,000",100%,"11,520,000","1,152,000", - ,"12,672,000",lunas 04/08/2017,LUNAS,,
,,RANTAI 13 ,,,,,,,,,,,,,,
2,COTTONINDO ARIESTA,"SERVICE CHAIN GRATE FOR BOILER SZL 6-1,25-AL",JASA,17/NS/06/001,ZSBI-INV/17/VI/1201,03-Jul-17,"35,000,000",100%,"35,000,000","3,500,000", - ,"38,500,000",lunas 25/07/2017,LUNAS,,
3,JIALE INDONESIA TEXTILE,JIALE TWO BOILER MAINTENANCE,JASA,ZS.M.JL/17/V/0059,ZSBI-INV/17/V/1198,,"81,000,000",40%,"32,400,000", - ,"648,000","31,752,000",LUNAS 13/06/2017,LUNAS,,
,,,,,ZSBI-INV/17/VII/1202,04-Jul-17,,60%,"48,600,000", - , - ,"48,600,000",lunas 14/08/2017,,,
4,BATARA ELOK SEMESTA TERPADU,GEAR BOX CHAIN GRATE Q 200 GL 5P,MATERIAL,OPP-1706-00252,ZSBI-INV/17/VI/1203,04-Jul-17,"19,500,000",100%,"19,500,000", - , - ,"19,500,000",lunas 21/07/2017,LUNAS,,
5,OCEAN ASIA INDUSTRY,GRATE BAR T24,MATERIAL,173116,ZSBI-INV/17/VI/1204,04-Jul-17,"3,400,000",100%,"3,400,000", - , - ,"3,400,000",LUNAS 07/07/2017,LUNAS,,
6,JIALE INDONESIA TEXTILE,pipa steam ,MATERIAL,ZS.E_JL07/001,ZSBI-INV/17/VII/1205,05-Jul-17,"11,000,000",100%,"11,000,000", - , - ,"11,000,000",lunas 14/08/2017,LUNAS,,
,,"joint Dia 2""",,,,,,,,,,,,,,
,,"Pipe 2""",,,,,,,,,,,,,,
,,Elbow,,,,,,,,,,,,,,
7,ELANG PERDANA TYRE INDUSTRY,SLIDING CONTROLLER JD 1A-40,MATERIAL,17/07/PO/04112,ZSBI-INV/17/VII/1206,17-Jul-17,"2,100,000",100%,"2,100,000","210,000", - ,"2,310,000",LUNAS 08/09/2017,LUNAS,,
,,FOR GRATE CONVEYOR ADJUSTMENT,,,,,,,,,,,,,,
8,ELANG PERDANA TYRE INDUSTRY,PULLEY DOUBLEGROOVE V-BELT A 80mm,MATERIAL,17/07/PO/04110,ZSBI-INV/17/VII/1207,17-Jul-17,"400,000",100%,"400,000","40,000", - ,"440,000",LUNAS 08/09/2017,LUNAS,,
9,ANUGERAH DWI PRATAMA,GRATE BAR 288,MATERIAL,102/ADP-PO/VII/2017,ZSBI-INV/17/VII/1208,19-Jul-17,"31,200,000",100%,"31,200,000","3,120,000", - ,"34,320,000",LUNAS 15/08/2017,LUNAS,,
10,BATARA ELOK SEMESTA TERPADU,GRATE BAR 288,MATERIAL,OPP-1707-00239,ZSBI-INV/17/VII/1209,19-Jul-17,"104,500,000",100%,"104,500,000","10,450,000", - ,"114,950,000",LUNAS 07/08/2017,LUNAS,,
,,GRATE BAR 367,,,,,,,,,,,,,,
11,ANUGERAH DWI PRATAMA,GRATE BAR 288,MATERIAL,103/ADP-PO/VII/2017,ZSBI-INV/17/VII/1210,21-Jul-17,"21,600,000",100%,"21,600,000","2,160,000", - ,"23,760,000",LUNAS 15/08/2017,LUNAS,,
12,OCEAN ASIA INDUSTRY,LONG AS DIA 18mm L2200mm,MATERIAL,173133,ZSBI-INV/17/VII/1211,21-Jul-17,"9,000,000",100%,"9,000,000", - , - ,"9,000,000",LUNAS 27/07/2017,LUNAS,,
13,OCEAN ASIA INDUSTRY,U BOLT 14,MATERIAL,173143,ZSBI-INV/17/VIII/1212,04-Aug-17,"5,150,000",100%,"5,150,000", - , - ,"5,150,000",LUNAS 27/07/2017,LUNAS,,
,,GRATE BAR T24,,,,,,,,,,,,,,
14,BATARA ELOK SEMESTA TERPADU,"PIN LOCK 50mm X 3,5mm",MATERIAL,OPP-1708-00131,ZSBI-INV/17/VIII/1213,10-Aug-17,"900,000",100%,"900,000","90,000", - ,"990,000",LUNAS 19/09/2017,LUNAS,,
15,ANUGERAH DWI PRATAMA,CHAIN GRATE TEBAL 18mm,MATERIAL,116/ADP-PO/VIII/2017,ZSBI-INV/17/VIII/1214,11-Aug-17,"5,750,000",100%,"5,750,000","575,000", - ,"6,325,000",LUNAS 13/09/2017,LUNAS,,
16,OCEAN ASIA INDUSTRY,PRESSURE SWICTH,MATERIAL,173146,ZSBI-INV/17/VIII/1215,14-Aug-17,"2,100,000",100%,"2,100,000", - , - ,"2,100,000",LUNAS 27/07/2017,LUNAS,,
17,ANUGERAH DWI PRATAMA,SMALL IDDLE,MATERIAL,118/ADP-PO/VIII/2017,ZSBI-INV/17/VIII/1216,15-Aug-17,"1,440,000",100%,"1,440,000","144,000", - ,"1,584,000",LUNAS 13/09/2017,LUNAS,,
18,ELANG PERDANA TYRE INDUSTRY,ONE YEAR MAINTENANCE FEE COAL BOILER 2017,JASA,16/12/PO/07511,ZSBI-INV/17/I/1155,,"70,000,000",30%,"21,000,000","2,100,000","420,000","22,680,000",LUNAS 22/02/2017,LUNAS,,
,,,,,ZSBI-INV/17/IV/1185,,,20%,"14,000,000","1,400,000","280,000","15,120,000",LUNAS 24/05/2017,LUNAS,,
,,,,,ZSBI-INV/17/VIII/1217,09-Sep-17,,20%,"14,000,000","1,400,000","280,000","15,120,000",LUNAS 20/09/2017,LUNAS,,
,,,,,ZSBI-INV/17/X/1233,17-Oct-17,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 03/11/2017,LUNAS,,
,,,,,ZSBI-INV/17/XII/1261,29-Dec-17,,10%,"7,000,000","700,000", - ,"7,700,000",LUNAS 31/01/2018,LUNAS,,
19,BROCO AERATED CONCRETE INDUSTRY,LONG SHAFT L=2840mm,MATERIAL,00127/PMB/SPE/ACI/08/17,ZSBI-INV/17/VIII/1218,25-Aug-17,"95,900,000",40%,"38,360,000","3,836,000", - ,"42,196,000",LUNAS 15/09/2017,LUNAS,,
,,SEALING BAR 355x150x110mm,,,ZSBI-INV/17/X/1235,18-Oct-17,,60%,"57,540,000","5,754,000", - ,"63,294,000",LUNAS 30/11/2017,LUNAS,,
20,TEDCO AGRI MAKMUR,LIVING CORE 200 A,MATERIAL,PO-BUY/0917/003,ZSBI-INV/17/IX/1219,05-Sep-17,"313,703,000",40%,"125,481,200","12,548,120", - ,"138,029,320",LUNAS 07/11/2017,LUNAS,,
,,LIVING CORE 200 B,,,,,,,,,,,,,,
,,SHAFT d=18 PANJANG 63cm,,,ZSBI-INV/17/X/1231,09-Oct-17,,60%,"188,221,800","18,822,180", - ,"207,043,980",LUNAS 02/11/2017,LUNAS,,
,,RANTAI Y45,,,,,,,,,,,,,,
21,OCEAN ASIA INDUSTRY,GRATE BAR T24,MATERIAL,173168,ZSBI-INV/17/IX/1220,07-Sep-17,"26,000,000",100%,"20,000,000", - , - ,"20,000,000",LEBIH BYR OCEAN,LUNAS,,
,,DRIVING GRATE 45 TENGAH,,,,,,100%,"6,000,000", - , - ,"6,000,000",LUNAS 07/12/2017,,,
,,PO DULU-DULU,MATERIAL,173094,ZSBI-INV/17/V/1196,22-May-17,"700,000",100%,"700,000", - , - ,"700,000",LUNAS 04/12/2017,LUNAS,,
,,,ONGKIR,173052,ZSBI-INV/17/V/1197,26-May-17,"600,000",100%,"600,000", - , - ,"600,000",LUNAS 04/12/2017,LUNAS,,
,,,MATERIAL,173146,ZSBI-INV/17/VIII/1215,14-Aug-17,"2,100,000",100%,"2,100,000", - , - ,"2,100,000",LUNAS 04/12/2017,LUNAS,,
,,,MATERIAL,173143,ZSBI-INV/17/VIII/1212,04-Aug-17,"5,150,000",30%,"1,550,000", - , - ,"1,550,000",LUNAS 04/12/2017,LUNAS,,
,,,,,,,,70%,"3,600,000", - , - ,"3,600,000",LUNAS 07/12/2017,LUNAS,,
,,,MATERIAL,173133,ZSBI-INV/17/VII/1211,21-Jul-17,"9,000,000",100%,"9,000,000", - , - ,"9,000,000",LUNAS 04/12/2017,LUNAS,,
22,OCEAN ASIA INDUSTRY,RANTAI 13 MATA,MATERIAL,173169,ZSBI-INV/17/IX/1221,07-Sep-17,"6,976,000",100%,"6,976,000", - , - ,"6,976,000",LUNAS 01/11/2017,LUNAS,,
,,U BOLT,,,,,,,,,,,,,,
23,OCEAN ASIA INDUSTRY,LONG AS DIA 18mm L2200mm,MATERIAL,172503,ZSBI-INV/17/IX/1222,11-Sep-17,"24,500,000",100%,"24,500,000", - , - ,"24,500,000",LUNAS 04/12/2017,LUNAS,,
24,TEDCO AGRI MAKMUR,JASA PERBAIKAN & PEMASANGAN CHAIN GRADE BOILER,JASA,WO-BUY/0917/002,ZSBI-INV/17/IX/1223,14-Sep-17,"55,000,000",30%,"16,500,000","1,650,000", - ,"18,150,000",LUNAS 25/09/2017,LUNAS,,
,,,,,ZSBI-INV/17/X/1239,23-Oct-17,,70%,"38,500,000","3,850,000", - ,"42,350,000",LUNAS 03/11/2017,LUNAS,,
25,JIALE INDONESIA TEXTILE,"EXPANSION JOINT SPECIAL, GLOBE VALVE, SPIRAL (METAL)",JASA,-,ZSBI-INV/17/IX/1224,15-Sep-17,"58,060,000",100%,"58,060,000", - , - ,"58,060,000",LUNAS 27/09/2017,LUNAS,,
26,JIALE INDONESIA TEXTILE,"TRANSDUCER, DUCTING, ASSEMBLING, & ONGKOS KIRIM",JASA,ZS.JL-F/17/IX/064,ZSBI-INV/17/IX/1225,15-Sep-17,"55,000,000",100%,"55,000,000", - , - ,"55,000,000",LUNAS 27/09/2017,LUNAS,,
27,ELANG PERDANA TYRE INDUSTRY,RANTAI 13 = 32 PCS,MATERIAL,17/09/PO/05700,ZSBI-INV/17/IX/1226,25-Sep-17,"14,160,000",100%,"14,160,000","1,416,000", - ,"15,576,000",LUNAS 03/11/2017,LUNAS,,
,,U BOLT = 32 PCS,,,,,,,,,,,,,,
,,SCRAPPER PLATE = 16PCS,,,,,,,,,,,,,,
,,SPROCKET = 2PCS,,,,,,,,,,,,,,
,,ROLLER BESAR = 2PCS,,,,,,,,,,,,,,
,,ROLLER KECIL = 8PCS,,,,,,,,,,,,,,
28,MAXITHERM BOILERS INDONESIA,RANTAI 11,MATERIAL,PO-1700914A,ZSBI-INV/17/IX/1227,27-Sep-17,"7,182,000",100%,"7,182,000","718,200", - ,"7,900,200",LUNAS 21/11/2017,LUNAS,,
29,MAXITHERM BOILERS INDONESIA,U BOLT 18 (DIRETUR),MATERIAL,PO-1700915A,ZSBI-INV/17/IX/1228,27-Sep-17,"9,595,000",100%,"4,180,000","418,000", - ,"4,598,000",LUNAS 16/01/2018,LUNAS,,
,,SPROCKET 6 ZG,,,,,,,,,,,,,,
30,JIALE INDONESIA TEXTILE,INSTALLATION BOILER YLW-7000MA,JASA,ZSBI-E/17/VIII/060,ZSBI-INV/17/IX/1229,05-Sep-17,"778,000,000",40%,"311,200,000", - , - ,"311,200,000",LUNAS 06/09/2017,LUNAS,,
,,,,,ZSBI-INV/17/XII/1258,11-Dec-17,,38.50%,"299,530,000", - , - ,"299,530,000",LUNAS 11/01/2018,LUNAS,,
,,INSTALLATION BOILER SZL 10-1.25-ALL,,,ZSBI-INV/18/I/1280,30-Jan-18,,9.50%,"73,910,000", - , - ,"73,910,000",LUNAS 12/02/2018,LUNAS,,
,,,,,ZSBI-INV/18/II/1285,10-Feb-18,,12%,"93,360,000", - , - ,"93,360,000",LUNAS 12/03/2018,LUNAS,,
31,JIALE INDONESIA TEXTILE,TOH MOVE OIL TANK,MATERIAL,ZS.JL-E/17/IX/066A,ZSBI-INV/17/IX/1229 (BPK YG BUAT INV NYA),01-Oct-17,"5,619,000",100%,"161,876,000", - , - ,"161,876,000",LUNAS 11/10/2017,LUNAS,,
,JIALE INDONESIA TEXTILE,TOH PIPING INSTALLATION,,ZS.JL-E/17/IX/066B,,,"137,230,000",,,,,,,,,
,JIALE INDONESIA TEXTILE,STEAM PIPING INSTALLATION,,ZS.JL-E/17/IX/066C,,,"19,027,000",,,,,,,,,
32,JIALE INDONESIA TEXTILE,"PIPE INSULATIONS, ELBOW INSULATIONS, TRANSPORT MAN POWER, KONTRAKAN",JASA,-,ZSBI-INV/17/IX/1230,26-Sep-17,"205,930,000",40%,"82,372,000", - , - ,"82,372,000",LUNAS 27/09/2017,LUNAS,,
,,,,,ZSBI-INV/17/XI/1245,06-Nov-17,,60%,"123,558,000", - , - ,"123,558,000",LUNAS 27/11/2017,LUNAS,,
33,TECKNO DUA INDONESIA,MIDDLE BAR 165 RTSI5,MATERIAL,2313,ZSBI-INV/17/X/1232,12-Oct-17,"41,800,000",100%,"41,800,000", - , - ,"41,800,000",LUNAS 24/10/2017,LUNAS,,
,,LEFT LINK,,,,,,,,,,,,,,
,,RIGHT LINK,,,,,,,,,,,,,,
,,LEFT BEAM 165 R-45,,,,,"1,000,000",,"1,000,000", - , - ,"1,000,000",LUNAS 24/11/2017,LUNAS,,
,,RIGHT BEAM 165 R-45,,,,,,,,,,,,,,
34,BATARA ELOK SEMESTA TERPADU,CORROSION RESISTANT PUMP 32UHB-UF-10-20,MATERIAL,OPP-1708-00440,ZSBI-INV/17/X/1234,18-Oct-17,"12,750,000",100%,"12,750,000","1,275,000", - ,"14,025,000",LUNAS 15/11/2017,LUNAS,,
35,BROCO AERATED CONCRETE INDUSTRY,ELECTRODE BOILER P3 (U/ LEVEL SENSOR AIR),MATERIAL,00018/PM2/SPE/ACI/10/17,ZSBI-INV/17/X/1236,18-Oct-17,"3,500,000",100%,"3,500,000","350,000", - ,"3,850,000",LUNAS 30/11/2017,LUNAS,,
36,BU KRIS,CHAIN GRATE BAR T24,MATERIAL,KRIS1/17/X/001,ZSBI-INV/17/X/1237,15-Oct-17,"12,150,000",100%,"11,045,250","1,104,750", - ,"12,150,000",LUNAS 16/10/17,LUNAS,,
37,BPK HENDI,CHAIN GRATE T18,MATERIAL,HENDI1/17/X/003,ZSBI-INV/17/X/1238,18-Oct-17,"6,400,000",100%,"5,818,240","581,760", - ,"6,400,000",LUNAS 18/10/17,LUNAS,,
38,DUCON TETRABLOK INDONESIA,GEAR BOX GL-10P,MATERIAL,173000008,ZSBI-INV/17/X/1240,24-Oct-17,"32,000,000",100%,"32,000,000","3,200,000", - ,"35,200,000",LUNAS 01/11/2017,LUNAS,,
39,BANGUN RINGAN PERKASA,"MELCO MOTOR EXHAUST FAN TYPE: Y2-225M-4 (45 KW/ 3 PH) 380 V IP:55, 1480 RPM",MATERIAL,BRP2017/JC-10/0284,ZSBI-INV/17/X/1241,24-Oct-17,"15,532,500",100%,"14,120,455","1,412,045", - ,"15,532,500",LUNAS 24/10/2017,LUNAS,,
