abc1,notBornUK,medianIncome,medianAge,withHigherEd,voteBrexit
0.133640553,0.012605042,0.25257732,0.5,0.085526316,TRUE
0.129032258,0.113445378,0.108247423,0.272727273,0.111842105,TRUE
0.161290323,0.004201681,0.128865979,0.636363636,0.118421053,TRUE
0.322580645,0.046218487,0.226804124,0.454545455,0.217105263,TRUE
0.34562212,0.058823529,0.201030928,0.545454545,0.243421053,TRUE
0.221198157,0.012605042,0.231958763,0.454545455,0.092105263,TRUE
0.511520737,0.067226891,0.309278351,0.5,0.335526316,TRUE
0.184331797,0.239495798,0.092783505,0.227272727,0.144736842,TRUE
0.188940092,0.06302521,0,0.590909091,0.032894737,TRUE
0.096774194,0.121848739,0.067010309,0.227272727,0.026315789,TRUE
0.433179724,0.033613445,0.216494845,0.772727273,0.296052632,TRUE
0.092165899,0.042016807,0.082474227,0.5,0.052631579,TRUE
0.179723502,0.084033613,0.298969072,0.590909091,0.138157895,TRUE
0.576036866,0.134453782,0.237113402,0.363636364,0.460526316,FALSE
0.322580645,0.222689076,0.324742268,0.272727273,0.256578947,TRUE
0.225806452,0.596638655,0.072164948,0.090909091,0.177631579,FALSE
0.64516129,0.079831933,0.402061856,0.681818182,0.473684211,TRUE
0.30875576,0.327731092,0.077319588,0,0.197368421,TRUE
0.341013825,0.084033613,0.087628866,0.681818182,0.335526316,TRUE
0.299539171,0.096638655,0.144329897,0.409090909,0.171052632,TRUE
0.101382488,0.117647059,0.134020619,0.363636364,0.032894737,TRUE
0.6359447,0.134453782,0.262886598,0.454545455,0.486842105,FALSE
0.539170507,0.239495798,0.355670103,0.136363636,0.473684211,FALSE
0.511520737,0.071428571,0.350515464,0.681818182,0.361842105,TRUE
0.552995392,0.084033613,0.309278351,0.5,0.315789474,TRUE
0.350230415,0.092436975,0.175257732,0.363636364,0.184210526,TRUE
0.267281106,0.06302521,0.082474227,0.772727273,0.164473684,TRUE
0.502304147,0.243697479,0.283505155,0.363636364,0.309210526,TRUE
0.479262673,0.113445378,0.257731959,0.590909091,0.289473684,TRUE
0.419354839,0.201680672,0.324742268,0.409090909,0.217105263,TRUE
0.285714286,0.546218487,0.262886598,0.090909091,0.203947368,TRUE
0.474654378,0.147058824,0.309278351,0.5,0.197368421,TRUE
