"Edible","CapShape","CapSurface","CapColor","Odor","Height"
"Poisonous","Convex","Smooth","Brown","Pungent","Tall"
"Edible","Convex","Smooth","Yellow","Almond","Short"
"Edible","Bell","Smooth","White","Anise","Tall"
"Poisonous","Convex","Scaly","White","Pungent","Short"
"Edible","Convex","Smooth","Gray","None","Short"
"Edible","Convex","Scaly","Yellow","Almond","Short"
"Edible","Bell","Smooth","White","Almond","Short"
"Edible","Bell","Scaly","White","Anise","Tall"
"Poisonous","Convex","Scaly","White","Pungent","Tall"
"Edible","Bell","Smooth","Yellow","Almond","Tall"
"Edible","Convex","Scaly","Yellow","Anise","Tall"
"Edible","Convex","Scaly","Yellow","Almond","Short"
"Edible","Bell","Smooth","Yellow","Almond","Short"
"Poisonous","Convex","Scaly","White","Pungent","Short"
"Edible","Convex","Fibrous","Brown","None","Tall"
"Edible","Sunken","Fibrous","Gray","None","Short"
"Edible","Flat","Fibrous","White","None","Short"
"Poisonous","Convex","Smooth","Brown","Pungent","Short"
"Poisonous","Convex","Scaly","White","Pungent","Tall"
"Poisonous","Convex","Smooth","Brown","Pungent","Tall"
"Edible","Bell","Smooth","Yellow","Almond","Short"
"Poisonous","Convex","Scaly","Brown","Pungent","Short"
"Edible","Bell","Scaly","Yellow","Anise","Tall"
"Edible","Bell","Scaly","White","Almond","Short"
"Edible","Bell","Smooth","White","Anise","Short"
"Poisonous","Flat","Smooth","White","Pungent","Short"
"Edible","Convex","Scaly","Yellow","Almond","Tall"
"Edible","Convex","Scaly","White","Anise","Short"
"Edible","Flat","Fibrous","Brown","None","Short"
"Edible","Convex","Smooth","Yellow","Almond","Short"
"Edible","Bell","Smooth","Yellow","Anise","Tall"
"Poisonous","Convex","Scaly","White","Pungent","Tall"
"Edible","Convex","Scaly","Yellow","Anise","Tall"
"Edible","Convex","Scaly","Brown","Anise","Short"
"Edible","Bell","Scaly","Yellow","Anise","Short"
"Edible","Convex","Fibrous","Yellow","Anise","Short"
"Edible","Sunken","Fibrous","Gray","None","Short"
"Poisonous","Convex","Scaly","Brown","Pungent","Short"
"Edible","Convex","Fibrous","Yellow","Almond","Short"
"Edible","Bell","Smooth","Yellow","Anise","Short"
"Edible","Bell","Scaly","Yellow","Almond","Short"
"Edible","Convex","Scaly","Yellow","Anise","Tall"
"Edible","Convex","Fibrous","Brown","None","Tall"
"Poisonous","Convex","Scaly","White","Pungent","Short"
"Edible","Convex","Smooth","Yellow","Almond","Tall"
"Edible","Convex","Scaly","White","Almond","Tall"
"Edible","Convex","Scaly","Yellow","Anise","Tall"
"Edible","Convex","Smooth","White","Anise","Short"
"Edible","Convex","Scaly","Yellow","Anise","Tall"
"Edible","Flat","Scaly","Yellow","Anise","Short"
"Edible","Convex","Scaly","Brown","Almond","Short"
"Edible","Convex","Smooth","White","Anise","Short"
"Edible","Bell","Smooth","White","Anise","Tall"
"Poisonous","Convex","Scaly","Brown","Pungent","Short"
"Poisonous","Convex","Smooth","White","Pungent","Tall"
"Edible","Bell","Scaly","Yellow","Almond","Short"
"Edible","Flat","Fibrous","Gray","None","Short"
"Edible","Bell","Smooth","White","Almond","Short"
"Edible","Convex","Smooth","Yellow","Anise","Short"
"Edible","Convex","Scaly","Brown","Almond","Short"
"Edible","Sunken","Fibrous","Gray","None","Tall"
"Edible","Bell","Scaly","Yellow","Almond","Tall"
"Edible","Bell","Smooth","Yellow","Anise","Short"
"Edible","Bell","Scaly","Yellow","Anise","Tall"
"Edible","Bell","Scaly","White","Anise","Tall"
"Edible","Flat","Smooth","Brown","None","Tall"
"Edible","Convex","Smooth","White","Anise","Tall"
"Edible","Flat","Scaly","Yellow","Almond","Short"
"Edible","Convex","Scaly","Yellow","Almond","Tall"
"Edible","Convex","Fibrous","Gray","None","Tall"
"Edible","Flat","Fibrous","Yellow","Anise","Short"
"Edible","Bell","Scaly","White","Anise","Tall"
"Edible","Flat","Fibrous","Yellow","Anise","Tall"
"Edible","Convex","Scaly","Brown","Almond","Short"
"Edible","Bell","Smooth","Yellow","Almond","Tall"
"Edible","Flat","Smooth","Yellow","Anise","Short"
"Edible","Convex","Smooth","White","Anise","Tall"
"Edible","Flat","Scaly","Brown","Anise","Tall"
"Poisonous","Convex","Scaly","Brown","Pungent","Short"
"Edible","Flat","Scaly","Brown","Almond","Tall"
"Edible","Convex","Smooth","Brown","None","Tall"
"Poisonous","Convex","Scaly","White","Pungent","Short"
"Edible","Flat","Fibrous","Gray","None","Tall"
"Edible","Convex","Fibrous","Gray","None","Tall"
"Edible","Convex","Scaly","Yellow","Anise","Short"
"Edible","Convex","Smooth","Brown","None","Short"
"Edible","Bell","Smooth","White","Almond","Short"
"Edible","Convex","Smooth","White","Anise","Tall"
"Edible","Flat","Scaly","Brown","Anise","Tall"
